master_project_en,project_name_en,growth_stage,property_type_en,median_price,price_per_sqm,transaction_count,earliest_transaction_year,developer_name
800 Villas,SERENA BELLA CASA,Early Growth,Land,2216900.0,11284.805293967933,1,2021.0,Unknown / Mixed
800 Villas,SERENA BELLA CASA,Early Growth,Villa,1440800.0,6640.799885109355,124,2021.0,Unknown / Mixed
800 Villas,SERENA BELLA CASA,Maturity,Villa,1897520.0,8600.121236288087,174,2023.0,Unknown / Mixed
800 Villas,SERENA BELLA CASA,Off-Plan or Launch,Villa,1366000.0,6260.863487897498,550,2017.0,Unknown / Mixed
800 Villas,Serena - Casa Viva ,Early Growth,Villa,1900000.0,8714.842270749248,190,2023.0,Unknown / Mixed
800 Villas,Serena - Casa Viva ,Maturity,Villa,2196320.0,10337.378830681491,28,2025.0,Unknown / Mixed
800 Villas,Serena - Casa Viva ,Off-Plan or Launch,Villa,1669000.0,7531.361681281653,494,2017.0,Unknown / Mixed
800 Villas,Serena Casa Dora,Early Growth,Villa,1738400.0,7625.841259679515,205,2022.0,Unknown / Mixed
800 Villas,Serena Casa Dora,Maturity,Villa,2335288.5,10117.68407562116,132,2024.0,Unknown / Mixed
800 Villas,Serena Casa Dora,Off-Plan or Launch,Villa,1551000.0,6910.099448318983,613,2017.0,Unknown / Mixed
Al Barari,CHORISIA 1 VILLAS,Early Growth,Land,13100000.0,28032.956259426846,6,2025.0,Al Barari Developers
Al Barari,CHORISIA 1 VILLAS,Off-Plan or Launch,Land,6742241.5,15358.695160482484,102,2022.0,Al Barari Developers
Al Barari,CHORISIA 1 VILLAS,Off-Plan or Launch,Villa,4851641.0,14694.331165158372,8,2022.0,Al Barari Developers
Al Furjan, 999 Residences by Reef Luxury Development,Early Growth,Unit,1179395.0,16041.886735668226,19,2025.0,Nakheel
Al Furjan, 999 Residences by Reef Luxury Development,Off-Plan or Launch,Land,14575000.0,2816.3706981507603,2,2018.0,Nakheel
Al Furjan,AL BUROOJ RESIDENCE 5,Maturity,Villa,1600000.0,9271.02541446791,23,2020.0,Nakheel
Al Furjan,AL BUROOJ RESIDENCE 5,Off-Plan or Launch,Villa,3996101.0,2421.879393939394,1,2016.0,Nakheel
Al Furjan,AL BUROOJ RESIDENCE 5,Stabilized / Legacy,Villa,1530000.0,9133.280315910712,3,2024.0,Nakheel
Al Furjan,AL FURJAN,Early Growth,Villa,2800000.0,9622.98550798928,353,2014.0,Nakheel
Al Furjan,AL FURJAN,Maturity,Villa,2321000.0,7411.082271774116,274,2016.0,Nakheel
Al Furjan,AL FURJAN,Off-Plan or Launch,Villa,2761000.0,9532.312141678864,406,2010.0,Nakheel
Al Furjan,AL FURJAN,Stabilized / Legacy,Villa,2567578.5,8485.367561035766,760,2020.0,Nakheel
Al Furjan,ALFURJAN PACKAGE 4,Early Growth,Land,2877037.0,4588.357777777778,3,2020.0,Nakheel
Al Furjan,ALFURJAN PACKAGE 4,Early Growth,Villa,2575881.0,5988.379802978779,119,2019.0,Nakheel
Al Furjan,ALFURJAN PACKAGE 4,Maturity,Land,3600000.0,6354.166666666666,4,2021.0,Nakheel
Al Furjan,ALFURJAN PACKAGE 4,Maturity,Villa,2600000.0,8691.320819267732,185,2021.0,Nakheel
Al Furjan,ALFURJAN PACKAGE 4,Off-Plan or Launch,Villa,3030000.0,11391.837315584156,146,2014.0,Nakheel
Al Furjan,ALFURJAN PACKAGE 4,Stabilized / Legacy,Villa,3000000.0,10126.761933014726,5,2025.0,Nakheel
Al Furjan,ALFURJAN PACKAGE 6,Early Growth,Land,125000000.0,208333.3333333333,1,2021.0,Nakheel
Al Furjan,ALFURJAN PACKAGE 6,Early Growth,Villa,2438000.0,7776.434192543462,23,2020.0,Nakheel
